代码,名称,涨幅%,现价,涨跌,涨速%,主力净量,总手,换手%,量比,所属行业,振幅%,现手,开盘,昨收,最高,最低,买价,卖价,市盈(动),市净率,买量,卖量,委比%,总金额,均笔额,笔数,手/笔,外盘,内盘,总市值,流通市值,贡献度
885615,体育产业,-5.87,1261.236,-78.589,0.05,-2.3,971813020,--,1.58,--,7.08,368700--,1340.537,1339.825,1341.5,1246.623,--,--,--,--,--,--,--,14093812000,20937.7,673131,1444,--,--,7.70646E+11,--,--
885574,卫星导航,-5.89,2501.744,-156.481,-0.04,-6.48,675865170,--,1.4,--,7.31,4528750--,2658.845,2658.225,2663.541,2469.225,--,--,--,--,--,--,--,12690366800,22119.67,573714,1178,--,--,3.60932E+11,--,--
885580,足球概念,-5.95,1892.939,-119.818,0.13,-5.17,746652300,--,1.58,--,7.25,4917350--,2014.888,2012.757,2016.309,1870.443,--,--,--,--,--,--,--,13238309300,24598.75,538170,1387,--,--,5.46802E+11,--,--
885480,在线教育,-5.97,3175.338,-201.428,-0.06,-4.13,923691280,--,1.45,--,6.64,574700--,3370.327,3376.766,3376.53,3152.407,--,--,--,--,--,--,--,17110761000,24242.15,705827,1309,--,--,6.25367E+11,--,--
885312,物联网,-6.02,2058.206,-131.947,-0.08,-4.51,1941444100,--,1.66,--,6.98,30400--,2189.192,2190.153,2193.995,2041.107,--,--,--,--,--,--,--,32088500000,24053.45,1334050,1455,--,--,9.53864E+11,--,--
885461,充电桩,-6.05,3617.3,-232.939,-0.05,-6.74,1117159810,--,1.3,--,7.23,264500--,3851.761,3850.239,3852.252,3574.072,--,--,--,--,--,--,--,18591255000,20104.46,924733,1208,--,--,6.24223E+11,--,--
885735,二维码识别,-6.07,1120.289,-72.354,0.07,-4.31,120429415,--,1.8,--,7.8,1071500--,1194.83,1192.643,1195.426,1102.4,--,--,--,--,--,--,--,2952419600,23736.14,124385,968,--,--,1.11865E+11,--,--
885545,汽车电子,-6.07,2377.584,-153.638,-0.08,-5.95,714017820,--,1.53,--,6.99,336400--,2526.239,2531.222,2530.762,2353.806,--,--,--,--,--,--,--,16476238000,26073.83,631907,1130,--,--,4.33535E+11,--,--
885710,锂电池,-6.15,973.483,-63.836,-0.04,-7.27,3882604900,--,1.54,--,7.46,138300--,1037.556,1037.319,1039.159,961.802,--,--,--,--,--,--,--,63363899000,21358.06,2966744,1309,--,--,1.5967E+12,--,--
885362,云计算,-6.16,2906.777,-190.811,-0.02,-3.07,1902511700,--,1.63,--,7.15,329100--,3098.895,3097.588,3105.832,2884.236,--,--,--,--,--,--,--,38385630000,26306.99,1459142,1304,--,--,1.24368E+12,--,--
885459,网络安全,-6.18,4292.418,-282.686,0,-4.44,1034491540,--,1.89,--,7.03,5089580--,4578.154,4575.104,4582.175,4260.531,--,--,--,--,--,--,--,19284330000,24558.83,785230,1317,--,--,5.15249E+11,--,--
885452,大数据,-6.2,3550.256,-234.862,-0.01,-3.02,2118055300,--,1.56,--,7.11,64600--,3782.688,3785.118,3787.657,3518.683,--,--,--,--,--,--,--,36170114000,23434.42,1543461,1372,--,--,1.4797E+12,--,--
885351,触摸屏,-6.25,783.615,-52.241,-0.05,-2.47,1129100430,--,1.85,--,7.17,6951150--,837.528,835.856,837.604,777.688,--,--,--,--,--,--,--,11087997100,21742.58,509967,2214,--,--,3.64114E+11,--,--
885728,人工智能,-6.25,877.627,-58.554,-0.05,-5.09,423062410,--,1.66,--,7.61,176100--,938.224,936.181,938.224,866.989,--,--,--,--,--,--,--,10343084000,24581.85,420761,1005,--,--,3.96004E+11,--,--
885658,移动互联网,-6.26,777.211,-51.859,0.04,-2.89,2216335900,--,1.63,--,7.3,17782900--,828.686,829.07,829.743,769.221,--,--,--,--,--,--,--,33717689000,23061.26,1462092,1516,--,--,1.42895E+12,--,--
885657,供应链金融,-6.32,827.475,-55.783,-0.05,-2.65,754178030,--,1.51,--,7.17,6360710--,884.776,883.258,884.859,821.568,--,--,--,--,--,--,--,10858394900,21168.48,512951,1470,--,--,5.89768E+11,--,--
885423,安防,-6.33,4260.39,-287.786,-0.08,-4.96,1268314340,--,1.65,--,7.13,8047720--,4546.925,4548.176,4548.403,4223.891,--,--,--,--,--,--,--,20748360000,23587.36,879639,1442,--,--,7.26799E+11,--,--
885662,车联网,-6.37,842.598,-57.325,-0.05,-5.7,721277570,--,1.64,--,7.43,5732790--,902.203,899.923,902.623,835.758,--,--,--,--,--,--,--,15261246000,22878.13,667067,1081,--,--,4.8304E+11,--,--
885652,钛白粉,-6.44,1364.721,-93.938,-0.17,-7.35,143779690,--,1.6,--,8.1,1505470--,1458.367,1458.659,1459.534,1341.383,--,--,--,--,--,--,--,1328078660,13925.98,95367,1508,--,--,34419712000,--,--
885647,互联网彩票,-6.44,716.237,-49.318,0.03,-5.84,642487510,--,1.5,--,7.53,4608160--,765.756,765.555,766.441,708.823,--,--,--,--,--,--,--,10016073500,21734.24,460843,1394,--,--,2.49758E+11,--,--
885738,OLED,-6.45,1069.047,-73.708,-0.02,-3.19,1987579200,--,1.67,--,7.18,577100--,1141.88,1142.755,1142.612,1060.619,--,--,--,--,--,--,--,24024333000,22130.84,1085559,1831,--,--,7.99365E+11,--,--
885355,石墨烯,-6.47,1166.964,-80.681,0,-10.92,2259373500,--,1.39,--,6.84,142100--,1239.668,1247.645,1243.94,1158.571,--,--,--,--,--,--,--,28141033000,21111.48,1332973,1695,--,--,5.5401E+11,--,--
885457,手机游戏,-6.47,3555.517,-246.108,-0.01,-4.98,1554810600,--,1.46,--,7.35,319700--,3801.064,3801.625,3805.738,3526.163,--,--,--,--,--,--,--,26389892000,22499.31,1172920,1326,--,--,1.20864E+12,--,--
885556,4G,-6.5,2921.084,-202.996,-0.02,-2.73,1333278710,--,1.39,--,7.54,6719890--,3119.82,3124.08,3128.94,2893.384,--,--,--,--,--,--,--,21882723000,23605.88,927003,1438,--,--,6.92103E+11,--,--
885605,P2P概念,-6.54,2301.185,-161,-0.02,-3.81,389146080,--,1.44,--,7.24,176100--,2461.775,2462.185,2462.322,2284.087,--,--,--,--,--,--,--,6904012600,21339.7,323529,1203,--,--,3.12543E+11,--,--
885568,国产软件,-6.65,3456.526,-246.042,-0.01,-4.41,782555930,--,1.51,--,7.4,101300--,3700.299,3702.568,3702.568,3428.578,--,--,--,--,--,--,--,18265340000,25729.27,709905,1102,--,--,4.9593E+11,--,--
885709,虚拟现实,-6.69,849.781,-60.957,0.02,-6.1,2511483400,--,1.44,--,7.46,920800--,911.23,910.738,911.565,843.636,--,--,--,--,--,--,--,50557488000,23491.84,2152130,1167,--,--,1.60874E+12,--,--
885343,稀土永磁,-6.92,1455.786,-108.273,-0.05,-5.29,1305769910,--,1.79,--,7.82,5814950--,1566.582,1564.059,1567.238,1444.938,--,--,--,--,--,--,--,15293916000,19602.01,780222,1674,--,--,5.64904E+11,--,--
885598,新股与次新股,-7.41,42993.824,-3440.697,-0.01,-19.16,637893100,--,1.31,--,8.58,745280--,46409.008,46434.521,46447.644,42464.874,--,--,--,--,--,--,--,33061326000,21119.38,1565450,407,--,--,9.63531E+11,--,--
